observation,weekDay,weeknumber,month,year,eq_volum,disacv_c,bonusacv,price_c,price_e,price_p,tvgrp_c,tvgrp_u,trustad,fsi_holi,fsi_non,fsi_comp,itemstor,walmart
1,2/26/2000,9,February,2000,3240042,9.1,0,0.9,1.05,0.67,0,258,0,0,0,0,9.5,0.3
2,3/4/2000,10,March,2000,2885233,8.17,0,0.9,1.01,0.7,0,183,0,0,0,0,9.5,0.31
3,3/11/2000,11,March,2000,2877506,6.92,0,0.91,1.04,0.73,0,169,0,0,0,554,9.5,0.29
4,3/18/2000,12,March,2000,3107180,9.1,0,0.91,0.94,0.75,0,7,0,0,0,0,9.5,0.3
5,3/25/2000,13,March,2000,2954494,7.04,0,0.9,0.95,0.75,0,2,0,0,0,0,9.5,0.32
6,4/1/2000,14,April,2000,2913908,7.1,0,0.9,0.94,0.7,0,4,0,0,0,8265,9.5,0.3
7,4/8/2000,15,April,2000,3163474,8.4,0,0.91,1.06,0.75,0,237,0,0,0,0,9.5,0.32
8,4/15/2000,16,April,2000,3053533,8.07,0,0.91,1.06,0.72,0,176,0,0,0,0,9.5,0.32
9,4/22/2000,17,April,2000,3375580,11.63,0,0.91,0.98,0.73,0,164,0,0,0,33175,9.5,0.29
10,4/29/2000,18,April,2000,2964614,7.61,0,0.92,1.02,0.73,0,17,0,0,0,0,9.5,0.28
11,5/6/2000,19,May,2000,2875706,6.75,0,0.92,1.02,0.74,0,4,0,0,0,36354,9.6,0.3
12,5/13/2000,20,May,2000,2939557,7.92,0,0.92,1.05,0.74,0,0,0,0,0,0,9.6,0.27
13,5/20/2000,21,May,2000,2951497,7.8,0,0.92,1.05,0.7,0,196,0,0,0,0,9.6,0.27
14,5/27/2000,22,May,2000,3316842,11.25,0,0.92,0.97,0.71,0,189,0,0,0,0,9.6,0.26
15,6/3/2000,23,June,2000,3286981,9.05,0,0.92,1.01,0.72,0,235,0,0,0,0,9.6,0.3
